2022-09-19 09:45:53,784 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709298&intPage=1&code=10004124', 'number': 6, 'result': '', 'title': '9월 음식점 위생.원산지 지도서비스 실시 사전예고 안내문', 'apperiod': '', 'registrationdate': '2022.09.14', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:53,784 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709298&intPage=1&code=10004124', 'number': 6, 'result': '', 'title': '9월 음식점 위생.원산지 지도서비스 실시 사전예고 안내문', 'apperiod': '', 'registrationdate': '2022.09.14', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,509 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709238&intPage=1&code=10004124', 'number': 7, 'result': '', 'title': '도봉발달장애인평생교육센터 수탁업체 모집공고', 'apperiod': '', 'registrationdate': '2022.09.13', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:54,791 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709189&intPage=1&code=10004124', 'number': 8, 'result': '', 'title': '2022년 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:55,525 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709188&intPage=1&code=10004124', 'number': 9, 'result': '', 'title': '2022년 장애인 스포츠강좌이용권 추가모집 알림', 'apperiod': '', 'registrationdate': '2022.09.08', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,424 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709151&intPage=2&code=10004124', 'number': 11, 'result': '', 'title': '2022년 서울시 청년 이사비 지원사업 홍보', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
